token_address,symbol,first_seen_at,txns_m5,volume_m5_usd,avg_trade_usd_m5,trade_count_total,total_amount_usd,sample_project
8xrNmDmj7d2U7gjcRuBejFrcnHeGBHYDkFi294UEmuzt,CHIBI,2026-03-22 5:56,239,10891.958978773502,45.57305012039122,239,10891.9589787735,meteora
8wb92YiC5n5DWy97yoeiQ38iiaNmDDqMKWPi1QnEDGzf,TRASH,2026-03-22 5:45,61,6409.58576675435,105.07517650416966,71,7279.933966754349,pumpswap
8muBPpDXQpFeRtkoX6jWJFq6RVshuSFUhY9js7cQq3u6,Elon Musk,2026-03-22 5:49,106,1050.83463342857,9.913534277628019,106,1050.83463342857,meteora
8iqiBD4v8ffAhEfKLLUw3kgZnWBBJp8X4kz9Lic2pump,Anuscoin,2026-03-22 5:54,85,2894.3762855159803,34.05148571195271,85,2894.3762855159803,pumpdotfun
7iLRT6QMg7ib8q2ZeCgmG8qcqsKRFhxXCuHRii5S4rib,USOR OIL,2026-03-22 5:57,48,10857.5139617415,226.19820753628127,48,10857.5139617415,meteora
7Usw2TCVTVHRX5vo6amcYGzS2yhF1UwDCpQN2RrHqtsG,ChibiWhale,2026-03-22 5:45,250,1457.9293131203701,5.83171725248148,250,1457.92931312037,pumpdotfun
7R6ieY3g2DL4vRgrNtdka1ZzN4PdSoqQWSM5XfZ3KYVB,Autobot,2026-03-22 5:46,9,8417.365043703621,935.2627826337357,9,8417.36504370362,meteora
7AYVWw1gXZhzge8Pf74jKJmEcAr7KcepwLzpWaMgpump,JSUPMT,2026-03-22 5:53,39,1479.5004993237803,37.93591023907129,41,1610.3144250912799,pumpdotfun
77oPE4f1vjYqMpVYfiEYeSMYUQ2DvvTpkFjoNDqj1GwT,PUNCHBI,2026-03-22 5:58,40,1412.7354260715,35.318385651787494,40,1412.7354260715,pumpswap
751JG8McKnWLRXmvNLCWnihcZQA2JqSns4wFCGtLpump,twttr,2026-03-22 5:56,9,925.7700822075,102.86334246749999,9,925.7700822074999,pumpdotfun
71HgEhs5MX21J6wWN9svjEpyKviLRa3B4s6UDJVTVCSn,CNY,2026-03-22 5:58,36,6740.292223248,187.23033953466665,36,6740.292223248,meteora
6pNp5TBHKA7e98PFbTGs4uLwhznWJuSrRb43xBLdkwvV,HONK,2026-03-22 5:57,103,6216.4950119535,60.35432050440291,103,6216.495011953501,pumpswap
6mAWF7FRHvVoFRg6i65enER3BJrLhzxeG97B8ks3pump,ChibiSly,2026-03-22 5:49,42,719.34092125556,17.12716479179905,42,719.3409212555601,pumpdotfun
6ZiuracQWdC8zonQRDjR6UVPTtHKTa7FCxfBinxM7adS,Autobot,2026-03-22 5:49,9,8417.2544768127,935.2504974236334,9,8417.254476812703,meteora
6W8FM8qFRPeqGar7WzD4xRpR3TRwddR6cRDK3dZhDXxX,AstrBot,2026-03-22 5:52,254,1138.89782496958,4.483849704604645,379,1187.66132496958,meteora
5iTg19Nxps1y7BNRyCdGa4FQ5cBKVT12Nf52NmSFtDWa,TikTok,2026-03-22 5:47,357,9553.65106317176,26.760927347820054,418,10327.982364660818,meteora
5VLCP1dQyNPiCCcGZBj3gMzy8y18H1RBNFg1mpkkQ8sP,IO,2026-03-22 5:53,70,7114.603904002961,101.63719862861373,70,7114.60390400296,pumpswap
5834H86DTmg2T3mvijtBbVdDTaFkrKHVBY8RkF67pump,SHREMP,2026-03-22 5:50,23,1196.5983376063803,52.026014678538274,23,1196.59833760638,pumpdotfun
57w5ktjs2oztamxgSY3dtcG8UWLTdSEhv5KsMwbYfodn,NVIDIA🔥,2026-03-22 5:54,90,1140.48959715632,12.672106635070223,90,1140.48959715632,meteora
52kcDEDUExARSRfhBB5HpB5fFgrZWt3Cysg5kALaSnWs,BEAST,2026-03-22 5:45,257,171716.82471564427,668.1588510336353,773,514541.3009945577,meteora
